[2024-06-05T20:59:23.881+0200] {processor.py:161} INFO - Started process (PID=6122) to work on /home/louis/GamingDataPipeline/airflow_venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2024-06-05T20:59:23.884+0200] {processor.py:830} INFO - Processing file /home/louis/GamingDataPipeline/airflow_venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-06-05T20:59:23.889+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:23.888+0200] {dagbag.py:540} INFO - Filling up the DagBag from /home/louis/GamingDataPipeline/airflow_venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2024-06-05T20:59:23.930+0200] {processor.py:840} INFO - DAG(s) 'consume_1_or_2_with_dataset_expressions', 'dataset_produces_1', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_and_2', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1', 'dataset_produces_2' retrieved from /home/louis/GamingDataPipeline/airflow_venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2024-06-05T20:59:24.249+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:24.249+0200] {dag.py:3096} INFO - Sync 10 DAGs
[2024-06-05T20:59:24.270+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:24.269+0200] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-06-05 01:00:00+00:00, run_after=2024-06-05 01:00:00+00:00
[2024-06-05T20:59:24.273+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:24.273+0200] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-06-05T20:59:24.275+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:24.275+0200] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-06-05T20:59:24.277+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:24.276+0200] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-06-05T20:59:24.278+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:24.277+0200] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-06-05T20:59:24.278+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:24.278+0200] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-06-05T20:59:24.279+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:24.279+0200] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-06-05T20:59:24.280+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:24.280+0200] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-06-05T20:59:24.283+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:24.282+0200] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-06-04 00:00:00+00:00, run_after=2024-06-05 00:00:00+00:00
[2024-06-05T20:59:24.284+0200] {logging_mixin.py:188} INFO - [2024-06-05T20:59:24.283+0200] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-06-05T20:59:24.330+0200] {processor.py:183} INFO - Processing /home/louis/GamingDataPipeline/airflow_venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py took 0.468 seconds
